school_name,year,cutoff_range,cutoff_min,cutoff_max,source_note
"Admiralty Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Admiralty Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Admiralty Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Ahmad Ibrahim Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Ahmad Ibrahim Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Ahmad Ibrahim Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Ai Tong School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Ai Tong School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Ai Tong School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Alexandra Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Alexandra Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Alexandra Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Anchor Green Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Anchor Green Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Anchor Green Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Anderson Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Anderson Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Anderson Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Ang Mo Kio Primary School",2024,"231-250",231,250,"Estimated based on school popularity patterns"
"Ang Mo Kio Primary School",2023,"231-250",231,250,"Estimated based on school popularity patterns"
"Ang Mo Kio Primary School",2022,"231-250",231,250,"Estimated based on school popularity patterns"
"Anglo-Chinese School (Junior)",2024,"≥251",251,260,"Estimated based on school popularity patterns"
"Anglo-Chinese School (Junior)",2023,"≥251",251,260,"Estimated based on school popularity patterns"
"Anglo-Chinese School (Junior)",2022,"≥251",251,260,"Estimated based on school popularity patterns"
"Anglo-Chinese School (Primary)",2024,"≥251",251,260,"Estimated based on school popularity patterns"
"Anglo-Chinese School (Primary)",2023,"≥251",251,260,"Estimated based on school popularity patterns"
"Anglo-Chinese School (Primary)",2022,"≥251",251,260,"Estimated based on school popularity patterns"
"Angsana Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Angsana Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Angsana Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Beacon Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Beacon Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Beacon Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Bedok Green Primary School",2024,"231-250",231,250,"Estimated based on school popularity patterns"
"Bedok Green Primary School",2023,"231-250",231,250,"Estimated based on school popularity patterns"
"Bedok Green Primary School",2022,"231-250",231,250,"Estimated based on school popularity patterns"
"Bendemeer Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Bendemeer Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Bendemeer Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Blangah Rise Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Blangah Rise Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Blangah Rise Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Boon Lay Garden Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Boon Lay Garden Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Boon Lay Garden Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Bukit Panjang Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Bukit Panjang Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Bukit Panjang Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Bukit Timah Primary School",2024,"231-250",231,250,"Estimated based on school popularity patterns"
"Bukit Timah Primary School",2023,"231-250",231,250,"Estimated based on school popularity patterns"
"Bukit Timah Primary School",2022,"231-250",231,250,"Estimated based on school popularity patterns"
"Bukit View Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Bukit View Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Bukit View Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
