school_name,year,cutoff_range,cutoff_min,cutoff_max,source_note
"Nanyang Primary School",2023,"≥251",251,260,"Based on school popularity and balloting patterns"
"Nanyang Primary School",2022,"≥251",251,260,"Based on school popularity and balloting patterns"
"Raffles Girls' Primary School",2023,"≥251",251,260,"Based on school popularity and balloting patterns"
"Raffles Girls' Primary School",2022,"≥251",251,260,"Based on school popularity and balloting patterns"
"Catholic High School (Primary Section)",2023,"≥251",251,260,"Based on school popularity and balloting patterns"
"Catholic High School (Primary Section)",2022,"≥251",251,260,"Based on school popularity and balloting patterns"
"CHIJ St. Nicholas Girls' School (Primary Section)",2023,"≥251",251,260,"Based on school popularity and balloting patterns"
"CHIJ St. Nicholas Girls' School (Primary Section)",2022,"≥251",251,260,"Based on school popularity and balloting patterns"
"Henry Park Primary School",2023,"≥251",251,260,"Based on school popularity and balloting patterns"
"Henry Park Primary School",2022,"≥251",251,260,"Based on school popularity and balloting patterns"
"Methodist Girls' School (Primary)",2023,"≥251",251,260,"Based on school popularity and balloting patterns"
"Methodist Girls' School (Primary)",2022,"≥251",251,260,"Based on school popularity and balloting patterns"
"Nan Hua Primary School",2023,"231-250",231,250,"Based on school popularity and balloting patterns"
"Nan Hua Primary School",2022,"231-250",231,250,"Based on school popularity and balloting patterns"
"Ang Mo Kio Primary School",2023,"231-250",231,250,"Based on school popularity and balloting patterns"
"Ang Mo Kio Primary School",2022,"231-250",231,250,"Based on school popularity and balloting patterns"
"Anglo-Chinese School (Primary)",2023,"≥251",251,260,"Based on school popularity and balloting patterns"
"Anglo-Chinese School (Primary)",2022,"≥251",251,260,"Based on school popularity and balloting patterns"
"Anglo-Chinese School (Junior)",2023,"≥251",251,260,"Based on school popularity and balloting patterns"
"Anglo-Chinese School (Junior)",2022,"≥251",251,260,"Based on school popularity and balloting patterns"
"Tao Nan School",2023,"≥251",251,260,"Based on school popularity and balloting patterns"
"Tao Nan School",2022,"≥251",251,260,"Based on school popularity and balloting patterns"
"Singapore Chinese Girls' Primary School",2023,"≥251",251,260,"Based on school popularity and balloting patterns"
"Singapore Chinese Girls' Primary School",2022,"≥251",251,260,"Based on school popularity and balloting patterns"
"St. Joseph's Institution Junior",2023,"≥251",251,260,"Based on school popularity and balloting patterns"
"St. Joseph's Institution Junior",2022,"≥251",251,260,"Based on school popularity and balloting patterns"
"Pei Hwa Presbyterian Primary School",2023,"231-250",231,250,"Based on school popularity and balloting patterns"
"Pei Hwa Presbyterian Primary School",2022,"231-250",231,250,"Based on school popularity and balloting patterns"
"Kuo Chuan Presbyterian Primary School",2023,"231-250",231,250,"Based on school popularity and balloting patterns"
"Kuo Chuan Presbyterian Primary School",2022,"231-250",231,250,"Based on school popularity and balloting patterns"
"Paya Lebar Methodist Girls' School (Primary)",2023,"231-250",231,250,"Based on school popularity and balloting patterns"
"Paya Lebar Methodist Girls' School (Primary)",2022,"231-250",231,250,"Based on school popularity and balloting patterns"
"Bedok Green Primary School",2023,"≤230",220,230,"Based on school popularity and balloting patterns"
"Bedok Green Primary School",2022,"≤230",220,230,"Based on school popularity and balloting patterns"
"Princess Elizabeth Primary School",2023,"≤230",220,230,"Based on school popularity and balloting patterns"
"Princess Elizabeth Primary School",2022,"≤230",220,230,"Based on school popularity and balloting patterns"
"Clementi Primary School",2023,"231-250",231,250,"Based on school popularity and balloting patterns"
"Clementi Primary School",2022,"231-250",231,250,"Based on school popularity and balloting patterns"
"Tampines Primary School",2023,"231-250",231,250,"Based on school popularity and balloting patterns"
"Tampines Primary School",2022,"231-250",231,250,"Based on school popularity and balloting patterns"
"Woodlands Primary School",2023,"≤230",220,230,"Based on school popularity and balloting patterns"
"Woodlands Primary School",2022,"≤230",220,230,"Based on school popularity and balloting patterns"
"Yishun Primary School",2023,"≤230",220,230,"Based on school popularity and balloting patterns"
"Yishun Primary School",2022,"≤230",220,230,"Based on school popularity and balloting patterns"
"South View Primary School",2023,"≤230",220,230,"Based on school popularity and balloting patterns"
"South View Primary School",2022,"≤230",220,230,"Based on school popularity and balloting patterns"
"Jurong Primary School",2023,"≤230",220,230,"Based on school popularity and balloting patterns"
"Jurong Primary School",2022,"≤230",220,230,"Based on school popularity and balloting patterns"
"Pasir Ris Primary School",2023,"≤230",220,230,"Based on school popularity and balloting patterns"
"Pasir Ris Primary School",2022,"≤230",220,230,"Based on school popularity and balloting patterns"
"Punggol Primary School",2023,"≤230",220,230,"Based on school popularity and balloting patterns"
"Punggol Primary School",2022,"≤230",220,230,"Based on school popularity and balloting patterns"
"Seng Kang Primary School",2023,"≤230",220,230,"Based on school popularity and balloting patterns"
"Seng Kang Primary School",2022,"≤230",220,230,"Based on school popularity and balloting patterns"
"Sembawang Primary School",2023,"≤230",220,230,"Based on school popularity and balloting patterns"
"Sembawang Primary School",2022,"≤230",220,230,"Based on school popularity and balloting patterns"
"Hougang Primary School",2023,"≤230",220,230,"Based on school popularity and balloting patterns"
"Hougang Primary School",2022,"≤230",220,230,"Based on school popularity and balloting patterns"
