school_name,address,postal_code,planning_area,town,latitude,longitude
"Admiralty Primary School","11 WOODLANDS CIRCLE ADMIRALTY PRIMARY SCHOOL SINGAPORE 738907","738907","WOODLANDS","WOODLANDS","1.4426347903311","103.800040119743"
"Ahmad Ibrahim Primary School","10 YISHUN STREET 11 AHMAD IBRAHIM PRIMARY SCHOOL SINGAPORE 768643","768643","YISHUN","YISHUN","1.43315271543517","103.832942401086"
"Ai Tong School","100 BRIGHT HILL DRIVE AI TONG SCHOOL SINGAPORE 579646","579646","BISHAN","BISHAN","1.3605834338904","103.833020333986"
"Alexandra Primary School","2A PRINCE CHARLES CRESCENT ALEXANDRA PRIMARY SCHOOL SINGAPORE 159016","159016","BUKIT MERAH","BUKIT MERAH","1.29133439161334","103.824424680531"
"Anchor Green Primary School","31 ANCHORVALE DRIVE ANCHOR GREEN PRIMARY SCHOOL SINGAPORE 544969","544969","SENGKANG","SENGKANG","1.39036998654612","103.887165375933"
"Anderson Primary School","19 ANG MO KIO AVENUE 9 ALPHAJOY STUDENT CARE CENTRE (ANDERSON PRIMARY) SINGAPORE 569785","569785","ANG MO KIO","ANG MO KIO","1.38419941907925","103.841411716006"
"Ang Mo Kio Primary School","20 ANG MO KIO AVENUE 3 ANG MO KIO PRIMARY SCHOOL SINGAPORE 569920","569920","ANG MO KIO","ANG MO KIO","1.36932176584608","103.839630858752"
"Anglo-Chinese School (Junior)","16 WINSTEDT ROAD ANGLO-CHINESE SCHOOL (JUNIOR) SINGAPORE 227988","227988","CENTRAL AREA","CENTRAL AREA","1.30935041274966","103.840950265464"
"Anglo-Chinese School (Primary)","50 BARKER ROAD ANGLO-CHINESE SCHOOL (PRIMARY) SINGAPORE 309918","309918","CENTRAL AREA","CENTRAL AREA","1.31837054523521","103.835609732354"
"Angsana Primary School","51 TAMPINES STREET 61 ANGSANA PRIMARY SCHOOL SINGAPORE 528565","528565","TAMPINES","TAMPINES","1.36360590588314","103.9389409004"
"Beacon Primary School","36 BUKIT PANJANG RING ROAD BEACON PRIMARY SCHOOL SINGAPORE 679944","679944","BUKIT PANJANG","BUKIT PANJANG","1.38394936211823","103.773632022975"
"Bedok Green Primary School","1 BEDOK SOUTH AVENUE 2 BEDOK GREEN PRIMARY SCHOOL SINGAPORE 469317","469317","BEDOK","BEDOK","1.32344593287992","103.937878976352"
"Bendemeer Primary School","91 BENDEMEER ROAD BENDEMEER PRIMARY SCHOOL SINGAPORE 339948","339948","KALLANG/WHAMPOA","KALLANG/WHAMPOA","1.32181250780475","103.865404167629"
"Blangah Rise Primary School","91 TELOK BLANGAH HEIGHTS BLANGAH RISE PRIMARY SCHOOL SINGAPORE 109100","109100","BUKIT MERAH","BUKIT MERAH","1.27612047924037","103.808628535239"
"Boon Lay Garden Primary School","20 BOON LAY DRIVE BIG HEART STUDENT CARE (BOON LAY GARDEN PRIMARY SCHOOL) SINGAPORE 649930","649930","JURONG WEST","JURONG WEST","1.34284013791617","103.712858381937"
"Bukit Panjang Primary School","109 CASHEW ROAD ACE @ WORK ENRICHMENT PTE LTD (BT PANJANG PRIMARY) SINGAPORE 679676","679676","BUKIT PANJANG","BUKIT PANJANG","1.37350089986584","103.769417337654"
"Bukit Timah Primary School","111 LORONG KISMIS AFTERSCHOOL @ BUKIT TIMAH PRIMARY SCHOOL SINGAPORE 598112","598112","BUKIT TIMAH","BUKIT TIMAH","1.3377498622588","103.766855344779"
