school_name,address,postal_code,planning_area,town,latitude,longitude
"Ang Mo Kio Primary School","6 ANG MO KIO STREET 22 ANG MO KIO SECONDARY SCHOOL SINGAPORE 569362","569284","ANG MO KIO","ANG MO KIO","1.36733710171069","103.842154973672"
"Jing Shan Primary School","ANG MO KIO STREET 21","569384","ANG MO KIO","ANG MO KIO","1.36933143581853","103.835003785636"
"Mayflower Primary School","8 Ang Mo Kio Street 14","569062","ANG MO KIO","ANG MO KIO","1.37637683547682","103.843252803742"
"Teck Ghee Primary School","11 Ang Mo Kio Street 54","569184","ANG MO KIO","ANG MO KIO","1.36558782075966","103.850957126982"
"Bedok Green Primary School","1 BEDOK SOUTH AVENUE 2 BEDOK GREEN PRIMARY SCHOOL SINGAPORE 469317","469315","BEDOK","BEDOK","1.32344593287992","103.937878976352"
"Bedok South Primary School","1 JALAN LANGGAR BEDOK BEDOK SOUTH SECONDARY SCHOOL SINGAPORE 468585","468555","BEDOK","BEDOK","1.32513655159184","103.950989139261"
"Fengshan Primary School","114 BEDOK NORTH STREET 2 SINGAPORE 460114","469642","BEDOK","BEDOK","1.33050521254379","103.93581688525"
"Opera Estate Primary School","10 Opera Estate Road","437840","BEDOK","BEDOK","1.31931914436255","103.923788259248"
"Temasek Primary School","519 BEDOK RESERVOIR ROAD ARCHIPELAGO SINGAPORE 479276","479229","BEDOK","BEDOK","1.33922952352996","103.918407544173"
"Yu Neng Primary School","3018 BEDOK NORTH STREET 5 EASTLINK SINGAPORE 486132","469642","BEDOK","BEDOK","1.3352942001459","103.94701280453"
"Catholic High School (Primary)","9 BISHAN STREET 22 CATHOLIC HIGH SCHOOL SINGAPORE 579767","579767","BISHAN","BISHAN","1.3547230747166","103.844874676599"
"Guangyang Primary School","6 BISHAN STREET 12 ALPHAJOY STUDENT CARE CENTRE (GUANGYANG) SINGAPORE 579806","579807","BISHAN","BISHAN","1.34604265945532","103.84928476911"
"Kuo Chuan Presbyterian Primary School","10 BISHAN STREET 13 KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL SINGAPORE 579795","579795","BISHAN","BISHAN","1.35017129930314","103.854983746416"
"Marymount Convent School","20 BISHAN STREET 22 THE SALVATION ARMY BISHAN CHINESE CORPS SINGAPORE 579768","579767","BISHAN","BISHAN","1.36093756290554","103.842574644167"
"Bukit Batok Primary School","50 BUKIT BATOK WEST AVENUE 3 BUKIT BATOK POLYCLINIC SINGAPORE 659164","659159","BUKIT BATOK","BUKIT BATOK","1.35201517590477","103.747822265461"
"Lianhua Primary School","30 BUKIT BATOK STREET 31 HONG KAH NORTH COMMUNITY CLUB SINGAPORE 659440","659442","BUKIT BATOK","BUKIT BATOK","1.35903339724932","103.749486819843"
"Princess Elizabeth Primary School","200 BUKIT BATOK WEST AVENUE 5 SINGAPORE 659871","659204","BUKIT BATOK","BUKIT BATOK","1.35763038395609","103.742933165324"
"West View Primary School","11 BUKIT BATOK STREET 25 SINGAPORE 658712","659633","BUKIT BATOK","BUKIT BATOK","1.34235172835604","103.760159353985"
"Alexandra Primary School","1A Alexandra Road","119958","BUKIT MERAH","BUKIT MERAH","1.29133439161334","103.824424680531"
"Cantonment Primary School","1 CANTONMENT CLOSE CANTONMENT PRIMARY SCHOOL SINGAPORE 088256","080001","BUKIT MERAH","BUKIT MERAH","1.27547252623201","103.839962631748"
"Radin Mas Primary School","1 TELOK BLANGAH RISE SHELTON COLLEGE INTERNATIONAL SINGAPORE 098888","098888","BUKIT MERAH","BUKIT MERAH","1.27427494015908","103.82025772579"
"Zhenghua Primary School","91 Senja Road","678692","BUKIT PANJANG","BUKIT PANJANG","1.37954887512229","103.769313521752"
