school_name,address,postal_code,planning_area,town,latitude,longitude
"Admiralty Primary School","11 Woodlands Circle,","738907","WOODLANDS","WOODLANDS","",""
"Ahmad Ibrahim Primary School","10 Yishun Street 11,","768643","YISHUN","YISHUN","",""
"Ai Tong School","100 Bright Hill Drive,","579646","BISHAN","BISHAN","",""
"Alexandra Primary School","2A Prince Charles Crescent,","159016","BUKIT MERAH","BUKIT MERAH","",""
"Anchor Green Primary School","31 Anchorvale Drive,","544969","SENGKANG","SENGKANG","",""
"Anderson Primary School","19 Ang Mo Kio Ave 9,","569785","ANG MO KIO","ANG MO KIO","",""
"Ang Mo Kio Primary School","20 Ang Mo Kio Avenue 3,","569920","ANG MO KIO","ANG MO KIO","",""
"Anglo-Chinese School (Junior)","16 Winstedt Road,","227988","CENTRAL AREA","CENTRAL AREA","",""
"Anglo-Chinese School (Primary)","50 Barker Road,","309918","CENTRAL AREA","CENTRAL AREA","",""
"Angsana Primary School","51 Tampines Street 61,","528565","TAMPINES","TAMPINES","",""
"Beacon Primary School","36 Bukit Panjang Ring Road,","679944","BUKIT PANJANG","BUKIT PANJANG","",""
"Bedok Green Primary School","1 Bedok South Ave 2,","469317","BEDOK","BEDOK","",""
"Bendemeer Primary School","91 Bendemeer Road,","339948","KALLANG/WHAMPOA","KALLANG/WHAMPOA","",""
"Blangah Rise Primary School","91 Telok Blangah Heights,","109100","BUKIT MERAH","BUKIT MERAH","",""
"Boon Lay Garden Primary School","20 Boon Lay Drive,","649930","JURONG WEST","JURONG WEST","",""
"Bukit Panjang Primary School","109 Cashew Road,","679676","BUKIT PANJANG","BUKIT PANJANG","",""
"Bukit Timah Primary School","111 Lorong Kismis,","598112","BUKIT TIMAH","BUKIT TIMAH","",""
"Bukit View Primary School","18 Bukit Batok Street 21,","659634","BUKIT BATOK","BUKIT BATOK","",""
"Canberra Primary School","21 Admiralty Drive,","757714","SEMBAWANG","SEMBAWANG","",""
"Canossa Catholic Primary School","1 Sallim Road,","387621","GEYLANG","GEYLANG","",""
"Cantonment Primary School","1 Cantonment Close,","088256","BUKIT MERAH","BUKIT MERAH","",""
"Casuarina Primary School","30 Pasir Ris St 41,","518935","PASIR RIS","PASIR RIS","",""
"Catholic High School (Primary Section)","9 Bishan Street 22,","579767","BISHAN","BISHAN","",""
"Cedar Primary School","15 Cedar Avenue,","349700","TOA PAYOH","TOA PAYOH","",""
"Changkat Primary School","11 Simei St 3,","529896","TAMPINES","TAMPINES","",""
"CHIJ (Katong) Primary","17 Martia Road,","424821","BEDOK","BEDOK","",""
"CHIJ (Kellock)","1 Bukit Teresa Road,","099757","BUKIT MERAH","BUKIT MERAH","",""
"CHIJ Our Lady of Good Counsel","2C Burghley Drive,","558979","SERANGOON","SERANGOON","",""
"CHIJ Our Lady of the Nativity","1257 Upper Serangoon Road,","534793","HOUGANG","HOUGANG","",""
"CHIJ Our Lady Queen of Peace","4 Chestnut Drive,","679287","BUKIT PANJANG","BUKIT PANJANG","",""
"CHIJ Primary (Toa Payoh)","628 Lorong 1 Toa Payoh,","319765","TOA PAYOH","TOA PAYOH","",""
"CHIJ St. Nicholas Girls' School (Primary Section)","501 Ang Mo Kio Street 13,","569405","ANG MO KIO","ANG MO KIO","",""
"Chongfu School","170 Yishun Avenue 6,","768959","YISHUN","YISHUN","",""
"Chongzheng Primary School","1 Tampines Street 21,","529392","TAMPINES","TAMPINES","",""
"Chua Chu Kang Primary School","20 Choa Chu Kang Avenue 2,","689905","CHOA CHU KANG","CHOA CHU KANG","",""
"Clementi Primary School","8 Clementi Ave 3,","129903","CLEMENTI","CLEMENTI","",""
"Compassvale Primary School","21 Compassvale St,","545091","SENGKANG","SENGKANG","",""
"Concord Primary School","3 Choa Chu Kang Ave 4,","689814","CHOA CHU KANG","CHOA CHU KANG","",""
"Corporation Primary School","31 Jurong West Street 24,","648347","JURONG WEST","JURONG WEST","",""
"Damai Primary School","52 Bedok Reservoir Crescent,","479226","BEDOK","BEDOK","",""
"Dazhong Primary School","35 Bukit Batok Street 31,","659441","BUKIT BATOK","BUKIT BATOK","",""
"De La Salle School","11 Choa Chu Kang St 52,","689285","CHOA CHU KANG","CHOA CHU KANG","",""
"East Spring Primary School","31 Tampines St 33,","529258","TAMPINES","TAMPINES","",""
"Edgefield Primary School","41 Edgefield Plains,","828869","PUNGGOL","PUNGGOL","",""
"Elias Park Primary School","11 Pasir Ris Street 52,","518866","PASIR RIS","PASIR RIS","",""
"Endeavour Primary School","10 Admiralty Link,","757521","SEMBAWANG","SEMBAWANG","",""
"Evergreen Primary School","31 Woodlands Circle,","738908","WOODLANDS","WOODLANDS","",""
"Fairfield Methodist School (Primary)","100 Dover Road,","139648","QUEENSTOWN","QUEENSTOWN","",""
"Farrer Park Primary School","2 Farrer Park Road,","217567","KALLANG/WHAMPOA","KALLANG/WHAMPOA","",""
"Fengshan Primary School","307 Bedok North Road,","469680","BEDOK","BEDOK","",""
"Fern Green Primary School","70 Fernvale Link,","797538","SENGKANG","SENGKANG","",""
"Fernvale Primary School","1 Fernvale Lane,","797701","SENGKANG","SENGKANG","",""
"First Toa Payoh Primary School","7 Lorong 8 Toa Payoh,","319252","TOA PAYOH","TOA PAYOH","",""
"Frontier Primary School","20 Jurong West Street 61,","648200","JURONG WEST","JURONG WEST","",""
"Fuchun Primary School","23 Woodlands Avenue 1,","739063","WOODLANDS","WOODLANDS","",""
"Fuhua Primary School","65 Jurong East Street 13,","609647","JURONG EAST","JURONG EAST","",""
"Gan Eng Seng Primary School","100 Redhill Close,","158901","BUKIT MERAH","BUKIT MERAH","",""
"Geylang Methodist School (Primary)","4 Geylang East Central,","389706","GEYLANG","GEYLANG","",""
"Gongshang Primary School","1 Tampines Street 42,","529176","TAMPINES","TAMPINES","",""
"Greendale Primary School","50 Edgedale Plains,","828848","PUNGGOL","PUNGGOL","",""
"Greenridge Primary School","11 Jelapang Road,","677744","BUKIT PANJANG","BUKIT PANJANG","",""
